Species,Sample,Chla,Chlb,Chlc,Chld,AFDW,cal.width,con.width,ratio,tissue,primary.septa,secondary.septa,complexity,Bulk density,Porosity,Micro-density
Porites cylindrica,1,19.76035068,4.684526627,4.189919527,4.984805828,149.0422933,0.684,0.322666667,2.119834711,2.053,9,9,27,1.326429013,51.30799814,2.724120929
Porites cylindrica,2,37.44703608,16.11198713,14.00401197,12.91614791,246.9715677,0.7945,0.240333333,3.305825243,2.882,12,12,36,1.220782134,56.24221388,2.789862657
Porites cylindrica,3,69.45997936,11.49961828,8.375181589,13.66774945,249.9984278,0.6425,0.1925,3.337662338,3.569,11,1,23,1.181586688,57.36411357,2.771343079
Porites cylindrica,4,22.259428,8.611576591,5.153765054,5.768609358,176.8593335,0.774166667,0.229,3.380640466,2.96,11,11,33,1.349912665,37.66235008,2.165485332
Porites cylindrica,5,19.51587453,6.267378472,2.692086157,3.737226773,71.57616998,0.903333333,0.282,3.203309693,3.899,11,11,33,1.242954895,53.96469878,2.700003827
Porites cylindrica,6,21.8801532,5.426992561,2.328360572,3.82513507,35.84907857,0.785833333,0.289333333,2.716013825,3.103,10,10,30,1.022863929,62.75433394,2.746262954
Porites cylindrica,7,30.9163097,5.355886501,2.273048063,4.57414451,57.08994018,0.7715,0.241166667,3.199032481,2.75,11,11,33,1.283214266,53.38656267,2.752884876
Porites cylindrica,8,44.01010241,17.56958168,15.7916094,16.92169605,149.4330738,0.737166667,0.305,2.416939891,2.39,11,1,23,1.140239163,58.97264832,2.779217075
Porites cylindrica,9,25.953479,11.05521247,8.033064892,8.192744854,51.5076767,0.801,0.256666667,3.120779221,4.162,10,2,22,1.208794908,54.95324696,2.683422947
Porites cylindrica,10,21.06478123,9.054135079,6.940916324,6.189272742,43.51519675,0.8355,0.33,2.531818182,2.397,9,9,27,1.215523791,53.68646878,2.624554334
Goniastrea retiformis,1,32.03608764,14.1454893,4.899018661,7.664795648,36.03115795,2.076,1.0765,1.9284719,2.096,12,12,36,1.435491988,47.95604522,2.758230028
Goniastrea retiformis,2,47.41687431,9.223132566,0,2.631858423,85.15986939,2.388666667,0.563,4.242747188,2.273,14,14,42,1.723557471,36.63413304,2.720009295
Goniastrea retiformis,3,55.30476204,16.30992341,0,7.221482458,89.8457241,2.485333333,0.738833333,3.363861945,1.544,14,15,43,1.51364706,42.29742507,2.623188067
Goniastrea retiformis,4,46.74267051,11.91396961,0,1.038592634,50.19472653,2.229166667,0.864,2.580054012,1.426,15,18,48,1.718280977,34.69802378,2.631284803
Goniastrea retiformis,5,31.75569906,8.926422426,0,3.150464773,93.31447324,2.390833333,0.693,3.44997595,1.146,13,14,40,1.716565125,35.75049868,2.67171743
Goniastrea retiformis,6,63.67278747,9.579357055,0,1.974134285,119.7390678,2.836166667,0.5545,5.114818154,1.042,15,19,49,1.652364669,40.11609626,2.759280151
Goniastrea retiformis,7,93.96956769,35.00148922,0,12.06382769,87.82948853,2.721166667,0.8255,3.296386029,2.101,15,14,44,1.747492836,32.7676461,2.599184373
Goniastrea retiformis,8,117.2494742,28.44335865,0,8.629429481,141.0864274,3.0065,1.175833333,2.556909993,2.308,11,13,35,1.624462171,38.41189013,2.637623032
Goniastrea retiformis,9,32.68971416,8.883160526,0,2.009545518,62.58600423,2.793166667,0.6925,4.03345367,1.896,14,20,48,1.654298581,38.91203873,2.708059896
Goniastrea retiformis,10,51.65282669,10.5589994,0,3.634717782,81.51798751,3.277166667,1.116,2.936529271,1.542,13,22,48,1.577597025,40.16307849,2.6364943
Isopora palifera,1,3.751355805,1.076084251,0.738506095,1.024675448,13.90901765,0.898333333,1.429,0.62864474,2.385,7,7,21,1.840126797,33.9969824,2.787943436
Isopora palifera,2,3.441648036,1.228010367,0.64888516,0.542062487,22.46850912,0.8515,1.5165,0.561490274,4.652,6,6,18,1.763562606,36.98745799,2.79874855
